
,,,,,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing,Scrimmage,Scrimmage,Scrimmage,Scrimmage,-additional
Rk,Player,School,Conf,G,Rec,Yds,Avg,TD,Att,Yds,Avg,TD,Plays,Yds,Avg,TD,-9999
404,Calvin Wiley,Bowling Green State,MAC,12,25,201,8.0,2,11,62,5.6,1,36,263,7.3,3,calvin-wiley-1
405,Ryan Griffin*,Connecticut,Big East,13,31,245,7.9,1,,,,,31,245,7.9,1,ryan-griffin-1
406,Bobby Rainey,Western Kentucky,Sun Belt,12,29,230,7.9,0,340,1649,4.9,15,369,1879,5.1,15,bobby-rainey-1
407,Desmond Scott,Duke,ACC,12,34,266,7.8,0,120,530,4.4,3,154,796,5.2,3,desmond-scott-1
408,Tracy Lampley*,Southern Mississippi,CUSA,12,26,203,7.8,0,65,384,5.9,1,91,587,6.5,1,tracy-lampley-1
409,Devon Brown,Wake Forest,ACC,12,39,302,7.7,1,18,134,7.4,2,57,436,7.6,3,devon-brown-1
410,Russell Shepard*,LSU,SEC,13,33,254,7.7,1,32,226,7.1,2,65,480,7.4,3,russell-shepard-1
411,Alexander Robinson,Iowa State,Big 12,12,26,201,7.7,1,202,946,4.7,9,228,1147,5.0,10,alexander-robinson-1
412,Noel Devine*,West Virginia,Big East,13,34,258,7.6,1,208,934,4.5,6,242,1192,4.9,7,noel-devine-1
413,Willie Geter,Bowling Green State,MAC,12,31,236,7.6,1,197,718,3.6,6,228,954,4.2,7,willie-geter-1
414,Nic Grigsby*,Arizona,Pac-10,12,25,189,7.6,1,118,533,4.5,8,143,722,5.0,9,nic-grigsby-1
415,Cyrus Gray*,Texas A&amp;M,Big 12,13,34,251,7.4,1,200,1133,5.7,12,234,1384,5.9,13,cyrus-gray-1
416,Ansel Ponder,Western Michigan,MAC,12,28,205,7.3,2,4,6,1.5,0,32,211,6.6,2,ansel-ponder-1
417,Keola Antolin*,Arizona,Pac-10,13,28,204,7.3,2,143,668,4.7,7,171,872,5.1,9,keola-antolin-1
418,Isaiah Pead,Cincinnati,Big East,11,26,190,7.3,1,157,1029,6.6,6,183,1219,6.7,7,isaiah-pead-1
419,Perry Jones,Virginia,ACC,12,31,224,7.2,1,137,646,4.7,1,168,870,5.2,2,perry-jones-1
420,Lennon Creer,Louisiana Tech,WAC,12,25,181,7.2,0,212,1181,5.6,10,237,1362,5.7,10,lennon-creer-1
421,Baron Batch*,Texas Tech,Big 12,13,32,226,7.1,3,177,816,4.6,5,209,1042,5.0,8,baron-batch-1
422,Chris Hernandez,New Mexico,MWC,11,35,246,7.0,0,0,45,,1,35,291,8.3,1,chris-hernandez-1
423,Henry Hynoski*,Pitt,Big East,13,25,174,7.0,1,12,33,2.8,0,37,207,5.6,1,henry-hynoski-1
